HighBP,HighChol,CholCheck,BMI,Smoker,Stroke,Diabetes,PhysActivity,Fruits,Veggies,HvyAlcoholConsump,AnyHealthcare,NoDocbcCost,GenHlth,MentHlth,PhysHlth,DiffWalk,Sex,Age,Education,Income,Target
2,2,2,5,2,2,2,2,2,2,2,2,2,5,4,4,2,2,13,6,8,2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1
,,,2,,,,,,,,,,3,2,2,,,3,3,3,
,,,3,,,,,,,,,,4,3,3,,,4,4,4,
,,,4,,,,,,,,,,5,,,,,5,5,5,
,,,,,,,,,,,,,,,,,,6,6,6,
,,,,,,,,,,,,,,,,,,7,,7,
,,,,,,,,,,,,,,,,,,8,,8,
,,,,,,,,,,,,,,,,,,9,,,
,,,,,,,,,,,,,,,,,,10,,,
,,,,,,,,,,,,,,,,,,11,,,
,,,,,,,,,,,,,,,,,,12,,,
,,,,,,,,,,,,,,,,,,13,,,
